indice;data;hora;natureza_acidente;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;bairro_cruzamento;num_semaforo;sentido_via;tipo;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3;turno
1;01/01/2020;01:04:00;SEM VÍTIMA;FINALIZADA;CORDEIRO;AV CAXANGA;1444;AV GENERAL SAN MARTIN;;CORDEIRO;80.0;SUBURBIO;ABALROAMENTO LONGITUDINAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;;60 km/h;Dupla;Canteiro central;;;Madrugada
2;01/01/2020;02:16:00;SEM VÍTIMA;FINALIZADA;AREIAS;AV RECIFE;;;LADO OPOSTO AO RESIDENCIAL IGNEZ ANDREAZZA;AREIAS;494.0;SUBURBIO;CHOQUE VEÍCULO PARADO;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Canteiro central;;;Madrugada
3;01/01/2020;02:22:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV BOA VIAGEM;;;EM FRENTE AO 1º JARDIM B. VIAGEM;BOA VIAGEM;;CIDADE;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;;Única;Faixa seccionada;;;Madrugada
4;01/01/2020;03:33:00;SEM VÍTIMA;FINALIZADA;PAISSANDU;AV GOVERNADOR AGAMENON MAGALHAES;;;CAIXA ECONÔMICA FEDERAL ILHA DO LEITE;PAISSANDU;672.0;SUBURBIO;ABALROAMENTO TRANSVERSAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Única;Faixa contínua;Faixa seccionada;Canteiro central;Madrugada
5;01/01/2020;04:18:00;SEM VÍTIMA;FINALIZADA;BARRO;AV DR JOSE RUFINO;;;;BARRO;;SUBURBIO;COLISÃO TRASEIRA;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Ilegível;Seca;Mal conservada;Não existe;Não há placas;;Dupla;Faixa seccionada;;;Madrugada
6;01/01/2020;04:47:00;SEM VÍTIMA;FINALIZADA;PINA;AV CONSELHEIRO AGUIAR;;AV HERCULANO BANDEIRA;;PINA;138.0;;CHOQUE OBJETO FIXO;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;R-6a;;Única;Faixa seccionada;;;Madrugada
7;01/01/2020;09:06:00;COM VÍTIMA;FINALIZADA;PINA;AVENIDA CELSO FURTADO (VIA MANGUE);;;PROX: SHOPPING RIO MAR . ULTIMA CURVA ANTES DO SHPPING RIO MAR;PINA;;BOA VIAGEM;CHOQUE OBJETO FIXO;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;;Não há placas;60 km/h;Dupla;Faixa seccionada;;;Manhã
8;01/01/2020;10:07:00;COM VÍTIMA;FINALIZADA;MADALENA;EST DOS REMEDIOS;2328;;LADO OPOSTO AO LESSA DE ANDRADE;MADALENA;;SUBURBIO;CHOQUE OBJETO FIXO;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Placas Pare;;Única;Faixa seccionada;;;Manhã
9;01/01/2020;12:09:00;SEM VÍTIMA;FINALIZADA;NOVA DESCOBERTA;RUA NOVA DESCOBERTA;1335;;;NOVA DESCOBERTA;;CIDADE;CHOQUE VEÍCULO PARADO;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa seccionada;;;Tarde
10;01/01/2020;15:00:00;SEM VÍTIMA;FINALIZADA;ROSARINHO;RUA CAPITAO SAMPAIO XAVIER;448;;PORTAL DA PICANHA;ROSARINHO;;SUBURBIO;ABALROAMENTO TRANSVERSAL;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Dupla;Não existe;;;Tarde
